SUMLEV,REGION,DIVISION,STATE,COUNTY,STNAME,CTYNAME,ESTIMATESBASE2020,POPESTIMATE2020,POPESTIMATE2021,NPOPCHG2020,NPOPCHG2021,BIRTHS2020,BIRTHS2021,DEATHS2020,DEATHS2021,NATURALCHG2020,NATURALCHG2021,INTERNATIONALMIG2020,INTERNATIONALMIG2021,DOMESTICMIG2020,DOMESTICMIG2021,NETMIG2020,NETMIG2021,RESIDUAL2020,RESIDUAL2021,GQESTIMATESBASE2020,GQESTIMATES2020,GQESTIMATES2021,RBIRTH2021,RDEATH2021,RNATURALCHG2021,RINTERNATIONALMIG2021,RDOMESTICMIG2021,RNETMIG2021
50,3,5,51,133,Virginia,Northumberland County,11839,11839,12029,0,190,24,104,54,258,-30,-154,0,0,34,350,34,350,-4,-6,0,0,0,8.71459695,21.61890397,-12.90430702,0,29.3279705,29.3279705
50,3,5,51,135,Virginia,Nottoway County,15642,15614,15594,-28,-20,32,176,63,218,-31,-42,0,4,3,18,3,22,0,0,2256,2256,2256,11.27915919,13.97077672,-2.691617534,0.256344527,1.153550372,1.409894899
50,3,5,51,137,Virginia,Orange County,36254,36396,37188,142,792,79,400,119,461,-40,-61,1,14,182,849,183,863,-1,-10,451,451,451,10.87192868,12.5298978,-1.657969124,0.380517504,23.07566862,23.45618613
50,3,5,51,139,Virginia,Page County,23709,23693,23807,-16,114,64,237,97,369,-33,-132,0,4,19,241,19,245,-2,1,131,131,131,9.978947368,15.53684211,-5.557894737,0.168421053,10.14736842,10.31578947
50,3,5,51,141,Virginia,Patrick County,17608,17560,17602,-48,42,29,84,77,305,-48,-221,0,0,4,266,4,266,-4,-3,255,255,255,4.777885217,17.34827371,-12.57038849,0,15.12996985,15.12996985
50,3,5,51,143,Virginia,Pittsylvania County,60501,60312,59972,-189,-340,113,493,220,922,-107,-429,0,6,-76,76,-76,82,-6,7,1002,1002,1002,8.197266469,15.33038476,-7.133118287,0.099763892,1.263675967,1.363439859
50,3,5,51,145,Virginia,Powhatan County,30333,30433,31136,100,703,65,249,76,311,-11,-62,0,2,112,772,112,774,-1,-9,1097,1097,1097,8.088486089,10.10248664,-2.014000552,0.06496776,25.07755526,25.14252302
50,3,5,51,147,Virginia,Prince Edward County,21849,21853,21932,4,79,50,224,90,265,-40,-41,0,21,44,96,44,117,0,3,3686,3686,3686,10.23181455,12.10460203,-1.872787484,0.959232614,4.385063378,5.344295992
50,3,5,51,149,Virginia,Prince George County,43010,43023,42880,13,-143,76,305,84,320,-8,-15,4,-9,16,-127,20,-136,1,8,4349,4349,4349,7.10103256,7.45026367,-0.34923111,-0.209538666,-2.956823394,-3.16636206
50,3,5,51,153,Virginia,Prince William County,482204,482738,484472,534,1734,1525,6080,595,2597,930,3483,59,980,-496,-2824,-437,-1844,41,95,2932,2932,2932,12.57224388,5.37008509,7.202158787,2.026447204,-5.839476432,-3.813029228
