geography,geographic_area_name,total_population,agesex_male_total,agesex_female_total,agesex_male_kids,agesex_male_adults,agesex_female_kids,agesex_female_adults,agesex_kid_total,agesex_adult_total,income_total_population_determined,income_low_income,income_high_income,income_unknown_income,race_total_population_determined,race_black-african_american,race_hispanic-latino,race_white,race_other_race,race_unknown_race
0500000US05033,"Crawford County, Arkansas",60483,29880,30603,8318,21562,7924,22679,16242,44241,59567,21195,38372,916,59567,735,4960,49608,4264,916
0500000US05035,"Crittenden County, Arkansas",48338,23094,25244,7387,15707,7054,18190,14441,33897,47618,19844,27774,720,47618,23702,1375,19207,3334,720
0500000US05037,"Cross County, Arkansas",16935,8176,8759,2289,5887,2171,6588,4460,12475,16694,6557,10137,241,16694,2643,357,12052,1642,241
0500000US05039,"Dallas County, Arkansas",6645,3219,3426,823,2396,850,2576,1673,4972,6007,2032,3975,638,6007,2739,27,3104,137,638
0500000US05041,"Desha County, Arkansas",11530,5374,6156,1564,3810,1631,4525,3195,8335,11447,5722,5725,83,11447,5515,768,5029,135,83
0500000US05043,"Drew County, Arkansas",17511,8433,9078,2367,6066,2339,6739,4706,12805,16544,6842,9702,967,16544,4569,632,11026,317,967
0500000US05045,"Faulkner County, Arkansas",123191,60286,62905,16805,43481,16356,46549,33161,90030,118237,38617,79620,4954,118237,13563,5066,93981,5627,4954
0500000US05047,"Franklin County, Arkansas",17159,8486,8673,2334,6152,2046,6627,4380,12779,16890,7311,9579,269,16890,63,585,15210,1032,269
0500000US05049,"Fulton County, Arkansas",12072,5915,6157,1367,4548,1458,4699,2825,9247,11892,5587,6305,180,11892,30,48,11101,713,180
0500000US05051,"Garland County, Arkansas",99694,48107,51587,11384,36723,10864,40723,22248,77446,98150,33927,64223,1544,98150,7975,5909,79780,4486,1544
0500000US05053,"Grant County, Arkansas",17912,8973,8939,2377,6596,2077,6862,4454,13458,17669,4862,12807,243,17669,374,540,16185,570,243
0500000US05055,"Greene County, Arkansas",45665,22592,23073,6287,16305,5913,17160,12200,33465,44755,16098,28657,910,44755,1030,1294,41039,1392,910
0500000US05057,"Hempstead County, Arkansas",20352,9544,10808,2575,6969,2938,7870,5513,14839,20090,8387,11703,262,20090,6086,2699,10796,509,262
0500000US05059,"Hot Spring County, Arkansas",33096,17364,15732,4258,13106,3532,12200,7790,25306,30929,11449,19480,2167,30929,2833,1135,26066,895,2167
0500000US05061,"Howard County, Arkansas",12894,6187,6707,1826,4361,1923,4784,3749,9145,12724,5377,7347,170,12724,2592,1705,8036,391,170
0500000US05063,"Independence County, Arkansas",37796,18743,19053,5107,13636,4928,14125,10035,27761,36789,13745,23044,1007,36789,583,2532,31429,2245,1007
0500000US05065,"Izard County, Arkansas",13653,7149,6504,1378,5771,1379,5125,2757,10896,12645,5437,7208,1008,12645,1,303,11807,534,1008
0500000US05067,"Jackson County, Arkansas",16878,8391,8487,1856,6535,1897,6590,3753,13125,14710,6520,8190,2168,14710,1338,452,11332,1588,2168
0500000US05069,"Jefferson County, Arkansas",68199,33917,34282,8824,25093,8453,25829,17277,50922,62225,24482,37743,5974,62225,35380,1395,22994,2456,5974
0500000US05071,"Johnson County, Arkansas",25853,12872,12981,3684,9188,3564,9417,7248,18605,25160,12024,13136,693,25160,332,3586,19728,1514,693
0500000US05073,"Lafayette County, Arkansas",6373,3278,3095,868,2410,490,2605,1358,5015,6230,3186,3044,143,6230,2215,201,3584,230,143
0500000US05075,"Lawrence County, Arkansas",16292,8156,8136,2193,5963,1952,6184,4145,12147,15786,6614,9172,506,15786,136,268,14801,581,506
0500000US05077,"Lee County, Arkansas",8832,5025,3807,945,4080,1063,2744,2008,6824,7320,3775,3545,1512,7320,4023,188,2962,147,1512
0500000US05079,"Lincoln County, Arkansas",13092,8280,4812,1236,7044,1124,3688,2360,10732,8330,2834,5496,4762,8330,1403,311,6427,189,4762
0500000US05081,"Little River County, Arkansas",12104,5940,6164,1694,4246,1332,4832,3026,9078,11881,3772,8109,223,11881,2356,212,8667,646,223
0500000US05083,"Logan County, Arkansas",21299,10492,10807,2575,7917,2498,8309,5073,16226,20991,7961,13030,308,20991,276,642,18659,1414,308
0500000US05085,"Lonoke County, Arkansas",73824,36507,37317,10660,25847,9856,27461,20516,53308,73066,19674,53392,758,73066,3983,3445,62235,3403,758
0500000US05087,"Madison County, Arkansas",16496,8440,8056,2136,6304,2060,5996,4196,12300,16382,5664,10718,114,16382,0,994,13614,1774,114
0500000US05089,"Marion County, Arkansas",16750,8252,8498,1671,6581,1662,6836,3333,13417,16586,6853,9733,164,16586,122,397,15465,602,164
0500000US05091,"Miller County, Arkansas",42875,21283,21592,5884,15399,5389,16203,11273,31602,41571,16301,25270,1304,41571,10548,1497,28198,1328,1304
0500000US05093,"Mississippi County, Arkansas",41061,20165,20896,6052,14113,5715,15181,11767,29294,40003,16981,23022,1058,40003,14069,1848,22829,1257,1058
0500000US05095,"Monroe County, Arkansas",6903,3320,3583,972,2348,708,2875,1680,5223,6812,2524,4288,91,6812,2920,24,3688,180,91
0500000US05097,"Montgomery County, Arkansas",8525,4305,4220,937,3368,764,3456,1701,6824,8397,3608,4789,128,8397,28,381,7611,377,128
0500000US05099,"Nevada County, Arkansas",8340,4155,4185,1280,2875,926,3259,2206,6134,8164,3634,4530,176,8164,2919,1,5085,159,176
0500000US05101,"Newton County, Arkansas",7343,3655,3688,745,2910,885,2803,1630,5713,7288,2511,4777,55,7288,0,83,6730,475,55
0500000US05103,"Ouachita County, Arkansas",22858,11183,11675,3053,8130,2560,9115,5613,17245,22482,9191,13291,376,22482,9461,560,12316,145,376
0500000US05105,"Perry County, Arkansas",10056,5110,4946,1322,3788,1158,3788,2480,7576,9957,3467,6490,99,9957,210,299,9139,309,99
0500000US05107,"Phillips County, Arkansas",16923,7865,9058,2404,5461,2427,6631,4831,12092,16807,8655,8152,116,16807,10765,342,5680,20,116
0500000US05109,"Pike County, Arkansas",10234,5062,5172,1252,3810,1218,3954,2470,7764,10051,3604,6447,183,10051,371,676,8612,392,183
0500000US05111,"Poinsett County, Arkansas",23212,11363,11849,3241,8122,2943,8906,6184,17028,22697,9686,13011,515,22697,925,772,19406,1594,515
0500000US05113,"Polk County, Arkansas",19476,9534,9942,2476,7058,2467,7475,4943,14533,19211,8063,11148,265,19211,55,1287,16752,1117,265
0500000US05115,"Pope County, Arkansas",63234,31348,31886,8669,22679,8588,23298,17257,45977,59964,24217,35747,3270,59964,1274,5824,49996,2870,3270
0500000US05117,"Prairie County, Arkansas",8306,4196,4110,1087,3109,796,3314,1883,6423,8079,2525,5554,227,8079,855,159,6820,245,227
0500000US05119,"Pulaski County, Arkansas",397931,190629,207302,51848,138781,49804,157498,101652,296279,391464,130883,260581,6467,391464,146036,24434,199669,21325,6467
0500000US05121,"Randolph County, Arkansas",18442,9340,9102,2580,6760,2277,6825,4857,13585,18032,7738,10294,410,18032,115,443,16443,1031,410
0500000US05123,"St. Francis County, Arkansas",23623,13250,10373,3143,10107,2524,7849,5667,17956,20545,10622,9923,3078,20545,11035,1019,8082,409,3078
0500000US05125,"Saline County, Arkansas",122308,60066,62242,15967,44099,15164,47078,31131,91177,120872,28454,92418,1436,120872,9656,6348,100100,4768,1436
0500000US05127,"Scott County, Arkansas",9928,5302,4626,1520,3782,1010,3616,2530,7398,9867,3940,5927,61,9867,291,794,8258,524,61
0500000US05129,"Searcy County, Arkansas",7872,3990,3882,871,3119,821,3061,1692,6180,7777,3506,4271,95,7777,0,220,7017,540,95
0500000US05131,"Sebastian County, Arkansas",127941,62886,65055,17151,45735,16703,48352,33854,94087,126057,47729,78328,1884,126057,7550,18770,86307,13430,1884
0500000US05133,"Sevier County, Arkansas",16074,8056,8018,2562,5494,2462,5556,5024,11050,15890,6935,8955,184,15890,453,5397,8879,1161,184
0500000US05135,"Sharp County, Arkansas",17243,8537,8706,2077,6460,1912,6794,3989,13254,16975,8051,8924,268,16975,155,423,15520,877,268
